model_name,variable,value
Random Forest,participation,0.012651255676869855
Random Forest,in_mod_deg,0.004676977056682285
Random Forest,beta_star,0.013729637162159126
Random Forest,edge_contr,0.012380834313696876
Random Forest,cada,0.011700973092287703
Random Forest,kl,0.0008669346615972073
Random Forest,l1,0.0007204289253412543
Random Forest,l2,0.01304213047270566
Random Forest,hd,0.0007004170040788126
Random Forest,kl2,0.003492917474290658
Random Forest,l12,0.0037283561450025204
Random Forest,l22,0.0049225964457957905
Random Forest,hd2,0.0023011831865090704
Random Forest,lcc,0.0012115852446251795
Random Forest,bc,0.00032279623161957094
Random Forest,dc,0.0009455203858011796
Random Forest,ndc,0.00016693127502628302
Random Forest,cc,0.0008970266607954969
Random Forest,ec,0.0005646792035294612
Random Forest,eccen,4.657716451957894e-05
Random Forest,core,0.000330154857535514
Random Forest,emb_node2vec_0,-6.739447982626601e-05
Random Forest,emb_node2vec_1,-0.00015931588982818213
Random Forest,emb_node2vec_2,2.931534264336566e-05
Random Forest,emb_node2vec_3,0.00020808868395671976
Random Forest,emb_node2vec_4,0.00045034137656648767
Random Forest,emb_node2vec_5,0.00010484618445224524
Random Forest,emb_node2vec_6,-5.946954464614018e-05
Random Forest,emb_node2vec_7,-8.227821616111353e-05
Random Forest,emb_node2vec_8,0.00011365996926693267
Random Forest,emb_node2vec_9,-4.008918119214888e-05
Random Forest,emb_node2vec_10,1.5226044640670456e-05
Random Forest,emb_node2vec_11,0.00037926810442436845
Random Forest,emb_node2vec_12,-0.00011399598622652274
Random Forest,emb_node2vec_13,0.00011635144664375873
Random Forest,emb_node2vec_14,0.0005704239326247418
Random Forest,emb_node2vec_15,5.791168169346772e-05
Random Forest,emb_struc2vec_1,4.4533228252996435e-05
Random Forest,emb_struc2vec_2,5.27598063659096e-05
Random Forest,emb_struc2vec_3,0.00015666165587666648
Random Forest,emb_struc2vec_4,-0.00023960167552720125
Random Forest,emb_struc2vec_5,-6.441257371180287e-05
Random Forest,emb_struc2vec_6,-5.1863459377909926e-05
Random Forest,emb_struc2vec_7,4.346953765066441e-06
Random Forest,emb_struc2vec_8,-3.420914639975514e-05
Random Forest,emb_struc2vec_9,-0.00023942738018691844
Random Forest,emb_struc2vec_10,4.588364968771685e-06
Random Forest,emb_struc2vec_11,-9.859332934835097e-05
Random Forest,emb_struc2vec_12,0.0005537548002664372
Random Forest,emb_struc2vec_13,-8.389375440592817e-05
Random Forest,emb_struc2vec_14,3.0905040915729656e-05
Random Forest,emb_struc2vec_15,-0.00010451472200824208
Random Forest,emb_struc2vec_16,-0.0001555809035545197
