features,model_name,measure,value
participation,log_reg,roc_auc_score,0.557
participation,log_reg,average_precision_score,0.129
participation,log_reg,average_precision_score_0.01,0.1
participation,log_reg,average_precision_score_0.05,0.1
participation,log_reg,average_precision_score_0.1,0.1
participation,random_forest,roc_auc_score,0.544
participation,random_forest,average_precision_score,0.127
participation,random_forest,average_precision_score_0.01,0.1
participation,random_forest,average_precision_score_0.05,0.103
participation,random_forest,average_precision_score_0.1,0.106
participation,lightgbm,roc_auc_score,0.549
participation,lightgbm,average_precision_score,0.125
participation,lightgbm,average_precision_score_0.01,0.1
participation,lightgbm,average_precision_score_0.05,0.1
participation,lightgbm,average_precision_score_0.1,0.107
participation,xgboost,roc_auc_score,0.551
participation,xgboost,average_precision_score,0.121
participation,xgboost,average_precision_score_0.01,0.1
participation,xgboost,average_precision_score_0.05,0.1
participation,xgboost,average_precision_score_0.1,0.101
in_mod_deg,log_reg,roc_auc_score,0.537
in_mod_deg,log_reg,average_precision_score,0.109
in_mod_deg,log_reg,average_precision_score_0.01,0.1
in_mod_deg,log_reg,average_precision_score_0.05,0.1
in_mod_deg,log_reg,average_precision_score_0.1,0.1
in_mod_deg,random_forest,roc_auc_score,0.513
in_mod_deg,random_forest,average_precision_score,0.105
in_mod_deg,random_forest,average_precision_score_0.01,0.1
in_mod_deg,random_forest,average_precision_score_0.05,0.1
in_mod_deg,random_forest,average_precision_score_0.1,0.102
in_mod_deg,lightgbm,roc_auc_score,0.516
in_mod_deg,lightgbm,average_precision_score,0.103
in_mod_deg,lightgbm,average_precision_score_0.01,0.1
in_mod_deg,lightgbm,average_precision_score_0.05,0.1
in_mod_deg,lightgbm,average_precision_score_0.1,0.102
in_mod_deg,xgboost,roc_auc_score,0.514
in_mod_deg,xgboost,average_precision_score,0.104
in_mod_deg,xgboost,average_precision_score_0.01,0.1
in_mod_deg,xgboost,average_precision_score_0.05,0.1
in_mod_deg,xgboost,average_precision_score_0.1,0.1
beta_star,log_reg,roc_auc_score,0.572
beta_star,log_reg,average_precision_score,0.13
beta_star,log_reg,average_precision_score_0.01,0.1
beta_star,log_reg,average_precision_score_0.05,0.1
beta_star,log_reg,average_precision_score_0.1,0.1
beta_star,random_forest,roc_auc_score,0.522
beta_star,random_forest,average_precision_score,0.11
beta_star,random_forest,average_precision_score_0.01,0.1
beta_star,random_forest,average_precision_score_0.05,0.102
beta_star,random_forest,average_precision_score_0.1,0.102
beta_star,lightgbm,roc_auc_score,0.541
beta_star,lightgbm,average_precision_score,0.114
beta_star,lightgbm,average_precision_score_0.01,0.1
beta_star,lightgbm,average_precision_score_0.05,0.1
beta_star,lightgbm,average_precision_score_0.1,0.104
beta_star,xgboost,roc_auc_score,0.541
beta_star,xgboost,average_precision_score,0.113
beta_star,xgboost,average_precision_score_0.01,0.1
beta_star,xgboost,average_precision_score_0.05,0.1
beta_star,xgboost,average_precision_score_0.1,0.1
edge_contr,log_reg,roc_auc_score,0.558
edge_contr,log_reg,average_precision_score,0.115
edge_contr,log_reg,average_precision_score_0.01,0.1
edge_contr,log_reg,average_precision_score_0.05,0.1
edge_contr,log_reg,average_precision_score_0.1,0.1
edge_contr,random_forest,roc_auc_score,0.549
edge_contr,random_forest,average_precision_score,0.118
edge_contr,random_forest,average_precision_score_0.01,0.1
edge_contr,random_forest,average_precision_score_0.05,0.101
edge_contr,random_forest,average_precision_score_0.1,0.108
edge_contr,lightgbm,roc_auc_score,0.534
edge_contr,lightgbm,average_precision_score,0.107
edge_contr,lightgbm,average_precision_score_0.01,0.1
edge_contr,lightgbm,average_precision_score_0.05,0.1
edge_contr,lightgbm,average_precision_score_0.1,0.104
edge_contr,xgboost,roc_auc_score,0.527
edge_contr,xgboost,average_precision_score,0.104
edge_contr,xgboost,average_precision_score_0.01,0.1
edge_contr,xgboost,average_precision_score_0.05,0.1
edge_contr,xgboost,average_precision_score_0.1,0.1
cada,log_reg,roc_auc_score,0.56
cada,log_reg,average_precision_score,0.116
cada,log_reg,average_precision_score_0.01,0.1
cada,log_reg,average_precision_score_0.05,0.1
cada,log_reg,average_precision_score_0.1,0.1
cada,random_forest,roc_auc_score,0.544
cada,random_forest,average_precision_score,0.116
cada,random_forest,average_precision_score_0.01,0.1
cada,random_forest,average_precision_score_0.05,0.101
cada,random_forest,average_precision_score_0.1,0.108
cada,lightgbm,roc_auc_score,0.533
cada,lightgbm,average_precision_score,0.109
cada,lightgbm,average_precision_score_0.01,0.1
cada,lightgbm,average_precision_score_0.05,0.1
cada,lightgbm,average_precision_score_0.1,0.108
cada,xgboost,roc_auc_score,0.548
cada,xgboost,average_precision_score,0.109
cada,xgboost,average_precision_score_0.01,0.1
cada,xgboost,average_precision_score_0.05,0.1
cada,xgboost,average_precision_score_0.1,0.1
kl,log_reg,roc_auc_score,0.544
kl,log_reg,average_precision_score,0.129
kl,log_reg,average_precision_score_0.01,0.1
kl,log_reg,average_precision_score_0.05,0.1
kl,log_reg,average_precision_score_0.1,0.1
kl,random_forest,roc_auc_score,0.485
kl,random_forest,average_precision_score,0.107
kl,random_forest,average_precision_score_0.01,0.1
kl,random_forest,average_precision_score_0.05,0.099
kl,random_forest,average_precision_score_0.1,0.099
kl,lightgbm,roc_auc_score,0.53
kl,lightgbm,average_precision_score,0.111
kl,lightgbm,average_precision_score_0.01,0.1
kl,lightgbm,average_precision_score_0.05,0.1
kl,lightgbm,average_precision_score_0.1,0.103
kl,xgboost,roc_auc_score,0.495
kl,xgboost,average_precision_score,0.106
kl,xgboost,average_precision_score_0.01,0.1
kl,xgboost,average_precision_score_0.05,0.1
kl,xgboost,average_precision_score_0.1,0.101
l1,log_reg,roc_auc_score,0.539
l1,log_reg,average_precision_score,0.127
l1,log_reg,average_precision_score_0.01,0.1
l1,log_reg,average_precision_score_0.05,0.1
l1,log_reg,average_precision_score_0.1,0.1
l1,random_forest,roc_auc_score,0.505
l1,random_forest,average_precision_score,0.107
l1,random_forest,average_precision_score_0.01,0.1
l1,random_forest,average_precision_score_0.05,0.1
l1,random_forest,average_precision_score_0.1,0.101
l1,lightgbm,roc_auc_score,0.506
l1,lightgbm,average_precision_score,0.115
l1,lightgbm,average_precision_score_0.01,0.1
l1,lightgbm,average_precision_score_0.05,0.1
l1,lightgbm,average_precision_score_0.1,0.099
l1,xgboost,roc_auc_score,0.504
l1,xgboost,average_precision_score,0.11
l1,xgboost,average_precision_score_0.01,0.1
l1,xgboost,average_precision_score_0.05,0.1
l1,xgboost,average_precision_score_0.1,0.101
l2,log_reg,roc_auc_score,0.56
l2,log_reg,average_precision_score,0.134
l2,log_reg,average_precision_score_0.01,0.1
l2,log_reg,average_precision_score_0.05,0.1
l2,log_reg,average_precision_score_0.1,0.1
l2,random_forest,roc_auc_score,0.512
l2,random_forest,average_precision_score,0.103
l2,random_forest,average_precision_score_0.01,0.1
l2,random_forest,average_precision_score_0.05,0.099
l2,random_forest,average_precision_score_0.1,0.101
l2,lightgbm,roc_auc_score,0.524
l2,lightgbm,average_precision_score,0.117
l2,lightgbm,average_precision_score_0.01,0.1
l2,lightgbm,average_precision_score_0.05,0.1
l2,lightgbm,average_precision_score_0.1,0.103
l2,xgboost,roc_auc_score,0.521
l2,xgboost,average_precision_score,0.111
l2,xgboost,average_precision_score_0.01,0.1
l2,xgboost,average_precision_score_0.05,0.1
l2,xgboost,average_precision_score_0.1,0.101
hd,log_reg,roc_auc_score,0.534
hd,log_reg,average_precision_score,0.123
hd,log_reg,average_precision_score_0.01,0.1
hd,log_reg,average_precision_score_0.05,0.1
hd,log_reg,average_precision_score_0.1,0.1
