features,model_name,measure,value
participation,log_reg,roc_auc_score,0.774
participation,log_reg,average_precision_score,0.458
participation,log_reg,average_precision_score_0.01,0.1
participation,log_reg,average_precision_score_0.05,0.101
participation,log_reg,average_precision_score_0.1,0.104
participation,random_forest,roc_auc_score,0.821
participation,random_forest,average_precision_score,0.444
participation,random_forest,average_precision_score_0.01,0.116
participation,random_forest,average_precision_score_0.05,0.169
participation,random_forest,average_precision_score_0.1,0.218
participation,lightgbm,roc_auc_score,0.817
participation,lightgbm,average_precision_score,0.467
participation,lightgbm,average_precision_score_0.01,0.1
participation,lightgbm,average_precision_score_0.05,0.135
participation,lightgbm,average_precision_score_0.1,0.206
participation,xgboost,roc_auc_score,0.82
participation,xgboost,average_precision_score,0.46
participation,xgboost,average_precision_score_0.01,0.114
participation,xgboost,average_precision_score_0.05,0.16
participation,xgboost,average_precision_score_0.1,0.218
in_mod_deg,log_reg,roc_auc_score,0.666
in_mod_deg,log_reg,average_precision_score,0.175
in_mod_deg,log_reg,average_precision_score_0.01,0.101
in_mod_deg,log_reg,average_precision_score_0.05,0.102
in_mod_deg,log_reg,average_precision_score_0.1,0.102
in_mod_deg,random_forest,roc_auc_score,0.674
in_mod_deg,random_forest,average_precision_score,0.189
in_mod_deg,random_forest,average_precision_score_0.01,0.106
in_mod_deg,random_forest,average_precision_score_0.05,0.121
in_mod_deg,random_forest,average_precision_score_0.1,0.138
in_mod_deg,lightgbm,roc_auc_score,0.665
in_mod_deg,lightgbm,average_precision_score,0.181
in_mod_deg,lightgbm,average_precision_score_0.01,0.1
in_mod_deg,lightgbm,average_precision_score_0.05,0.1
in_mod_deg,lightgbm,average_precision_score_0.1,0.131
in_mod_deg,xgboost,roc_auc_score,0.681
in_mod_deg,xgboost,average_precision_score,0.186
in_mod_deg,xgboost,average_precision_score_0.01,0.1
in_mod_deg,xgboost,average_precision_score_0.05,0.1
in_mod_deg,xgboost,average_precision_score_0.1,0.1
beta_star,log_reg,roc_auc_score,0.824
beta_star,log_reg,average_precision_score,0.442
beta_star,log_reg,average_precision_score_0.01,0.1
beta_star,log_reg,average_precision_score_0.05,0.102
beta_star,log_reg,average_precision_score_0.1,0.108
beta_star,random_forest,roc_auc_score,0.827
beta_star,random_forest,average_precision_score,0.401
beta_star,random_forest,average_precision_score_0.01,0.111
beta_star,random_forest,average_precision_score_0.05,0.181
beta_star,random_forest,average_precision_score_0.1,0.236
beta_star,lightgbm,roc_auc_score,0.816
beta_star,lightgbm,average_precision_score,0.411
beta_star,lightgbm,average_precision_score_0.01,0.1
beta_star,lightgbm,average_precision_score_0.05,0.1
beta_star,lightgbm,average_precision_score_0.1,0.257
beta_star,xgboost,roc_auc_score,0.829
beta_star,xgboost,average_precision_score,0.422
beta_star,xgboost,average_precision_score_0.01,0.1
beta_star,xgboost,average_precision_score_0.05,0.187
beta_star,xgboost,average_precision_score_0.1,0.243
edge_contr,log_reg,roc_auc_score,0.805
edge_contr,log_reg,average_precision_score,0.382
edge_contr,log_reg,average_precision_score_0.01,0.1
edge_contr,log_reg,average_precision_score_0.05,0.101
edge_contr,log_reg,average_precision_score_0.1,0.105
edge_contr,random_forest,roc_auc_score,0.816
edge_contr,random_forest,average_precision_score,0.406
edge_contr,random_forest,average_precision_score_0.01,0.116
edge_contr,random_forest,average_precision_score_0.05,0.153
edge_contr,random_forest,average_precision_score_0.1,0.222
edge_contr,lightgbm,roc_auc_score,0.813
edge_contr,lightgbm,average_precision_score,0.393
edge_contr,lightgbm,average_precision_score_0.01,0.1
edge_contr,lightgbm,average_precision_score_0.05,0.1
edge_contr,lightgbm,average_precision_score_0.1,0.221
edge_contr,xgboost,roc_auc_score,0.816
edge_contr,xgboost,average_precision_score,0.409
edge_contr,xgboost,average_precision_score_0.01,0.11
edge_contr,xgboost,average_precision_score_0.05,0.169
edge_contr,xgboost,average_precision_score_0.1,0.221
cada,log_reg,roc_auc_score,0.807
cada,log_reg,average_precision_score,0.389
cada,log_reg,average_precision_score_0.01,0.1
cada,log_reg,average_precision_score_0.05,0.1
cada,log_reg,average_precision_score_0.1,0.1
cada,random_forest,roc_auc_score,0.818
cada,random_forest,average_precision_score,0.405
cada,random_forest,average_precision_score_0.01,0.116
cada,random_forest,average_precision_score_0.05,0.153
cada,random_forest,average_precision_score_0.1,0.223
cada,lightgbm,roc_auc_score,0.814
cada,lightgbm,average_precision_score,0.406
cada,lightgbm,average_precision_score_0.01,0.1
cada,lightgbm,average_precision_score_0.05,0.1
cada,lightgbm,average_precision_score_0.1,0.223
cada,xgboost,roc_auc_score,0.817
cada,xgboost,average_precision_score,0.414
cada,xgboost,average_precision_score_0.01,0.116
cada,xgboost,average_precision_score_0.05,0.169
cada,xgboost,average_precision_score_0.1,0.223
kl,log_reg,roc_auc_score,0.678
kl,log_reg,average_precision_score,0.264
kl,log_reg,average_precision_score_0.01,0.1
kl,log_reg,average_precision_score_0.05,0.1
kl,log_reg,average_precision_score_0.1,0.101
kl,random_forest,roc_auc_score,0.649
kl,random_forest,average_precision_score,0.241
kl,random_forest,average_precision_score_0.01,0.105
kl,random_forest,average_precision_score_0.05,0.113
kl,random_forest,average_precision_score_0.1,0.132
kl,lightgbm,roc_auc_score,0.652
kl,lightgbm,average_precision_score,0.237
kl,lightgbm,average_precision_score_0.01,0.1
kl,lightgbm,average_precision_score_0.05,0.1
kl,lightgbm,average_precision_score_0.1,0.128
kl,xgboost,roc_auc_score,0.663
kl,xgboost,average_precision_score,0.243
kl,xgboost,average_precision_score_0.01,0.1
kl,xgboost,average_precision_score_0.05,0.1
kl,xgboost,average_precision_score_0.1,0.114
l1,log_reg,roc_auc_score,0.628
l1,log_reg,average_precision_score,0.241
l1,log_reg,average_precision_score_0.01,0.1
l1,log_reg,average_precision_score_0.05,0.1
l1,log_reg,average_precision_score_0.1,0.1
l1,random_forest,roc_auc_score,0.591
l1,random_forest,average_precision_score,0.206
l1,random_forest,average_precision_score_0.01,0.102
l1,random_forest,average_precision_score_0.05,0.103
l1,random_forest,average_precision_score_0.1,0.116
l1,lightgbm,roc_auc_score,0.598
l1,lightgbm,average_precision_score,0.216
