features,model_name,measure,value
kl,xgboost,average_precision_score_0.05,0.359
kl,xgboost,average_precision_score_0.1,0.392
l1,log_reg,roc_auc_score,0.696
l1,log_reg,average_precision_score,0.355
l1,log_reg,average_precision_score_0.01,0.257
l1,log_reg,average_precision_score_0.05,0.261
l1,log_reg,average_precision_score_0.1,0.27
l1,random_forest,roc_auc_score,0.867
l1,random_forest,average_precision_score,0.685
l1,random_forest,average_precision_score_0.01,0.317
l1,random_forest,average_precision_score_0.05,0.372
l1,random_forest,average_precision_score_0.1,0.413
l1,lightgbm,roc_auc_score,0.869
l1,lightgbm,average_precision_score,0.688
l1,lightgbm,average_precision_score_0.01,0.286
l1,lightgbm,average_precision_score_0.05,0.36
l1,lightgbm,average_precision_score_0.1,0.406
l1,xgboost,roc_auc_score,0.868
l1,xgboost,average_precision_score,0.686
l1,xgboost,average_precision_score_0.01,0.291
l1,xgboost,average_precision_score_0.05,0.365
l1,xgboost,average_precision_score_0.1,0.409
l2,log_reg,roc_auc_score,0.679
l2,log_reg,average_precision_score,0.351
l2,log_reg,average_precision_score_0.01,0.257
l2,log_reg,average_precision_score_0.05,0.257
l2,log_reg,average_precision_score_0.1,0.259
l2,random_forest,roc_auc_score,0.85
l2,random_forest,average_precision_score,0.663
l2,random_forest,average_precision_score_0.01,0.317
l2,random_forest,average_precision_score_0.05,0.335
l2,random_forest,average_precision_score_0.1,0.361
l2,lightgbm,roc_auc_score,0.849
l2,lightgbm,average_precision_score,0.66
l2,lightgbm,average_precision_score_0.01,0.257
l2,lightgbm,average_precision_score_0.05,0.257
l2,lightgbm,average_precision_score_0.1,0.332
l2,xgboost,roc_auc_score,0.848
l2,xgboost,average_precision_score,0.664
l2,xgboost,average_precision_score_0.01,0.293
l2,xgboost,average_precision_score_0.05,0.336
l2,xgboost,average_precision_score_0.1,0.367
hd,log_reg,roc_auc_score,0.692
hd,log_reg,average_precision_score,0.348
hd,log_reg,average_precision_score_0.01,0.257
hd,log_reg,average_precision_score_0.05,0.257
hd,log_reg,average_precision_score_0.1,0.259
hd,random_forest,roc_auc_score,0.854
hd,random_forest,average_precision_score,0.659
hd,random_forest,average_precision_score_0.01,0.316
hd,random_forest,average_precision_score_0.05,0.371
hd,random_forest,average_precision_score_0.1,0.402
hd,lightgbm,roc_auc_score,0.851
hd,lightgbm,average_precision_score,0.655
hd,lightgbm,average_precision_score_0.01,0.257
hd,lightgbm,average_precision_score_0.05,0.305
hd,lightgbm,average_precision_score_0.1,0.379
hd,xgboost,roc_auc_score,0.853
hd,xgboost,average_precision_score,0.663
hd,xgboost,average_precision_score_0.01,0.288
hd,xgboost,average_precision_score_0.05,0.364
hd,xgboost,average_precision_score_0.1,0.398
kl2,log_reg,roc_auc_score,0.696
kl2,log_reg,average_precision_score,0.35
kl2,log_reg,average_precision_score_0.01,0.257
kl2,log_reg,average_precision_score_0.05,0.257
kl2,log_reg,average_precision_score_0.1,0.257
kl2,random_forest,roc_auc_score,0.782
