model_name,variable,value
Random Forest,participation,0.016751951196561587
Random Forest,in_mod_deg,0.013656618903578355
Random Forest,beta_star,0.0455401233885345
Random Forest,edge_contr,0.01265127942767863
Random Forest,cada,0.020685447218253404
Random Forest,kl,0.002678366244263386
Random Forest,l1,0.0013954725628980036
Random Forest,l2,0.010637276480592327
Random Forest,hd,-0.00012617318631137354
Random Forest,kl2,0.00045628059776018357
Random Forest,l12,7.482693906122329e-05
Random Forest,l22,-8.393550778302838e-05
Random Forest,hd2,0.0002108736021333879
Random Forest,lcc,0.003494212099935812
Random Forest,bc,0.0003796007257195422
Random Forest,dc,0.004357419517221827
Random Forest,ndc,-7.026529398579395e-05
Random Forest,cc,0.0015050366712834773
Random Forest,ec,0.003849491377123937
Random Forest,eccen,-0.0003373461916202247
Random Forest,core,0.003173221849941199
Random Forest,emb_node2vec_0,0.0029460706821067715
Random Forest,emb_node2vec_1,0.0025192418399836657
Random Forest,emb_node2vec_2,-0.00010587421051353463
Random Forest,emb_node2vec_3,-0.00042236576292046244
Random Forest,emb_node2vec_4,0.00016973601742614752
Random Forest,emb_node2vec_5,-0.0003051743477622382
Random Forest,emb_node2vec_6,0.00030267731233937225
Random Forest,emb_node2vec_7,0.0005008389424509873
Random Forest,emb_node2vec_8,-0.00040903231330226
Random Forest,emb_node2vec_9,0.005538414940637071
Random Forest,emb_node2vec_10,-9.341845308585838e-06
Random Forest,emb_node2vec_11,0.0006595050564527471
Random Forest,emb_node2vec_12,0.00015059580479169775
Random Forest,emb_node2vec_13,-0.001472285074787094
Random Forest,emb_node2vec_14,0.00034252698454121375
Random Forest,emb_node2vec_15,0.00025986434294993365
Random Forest,emb_struc2vec_1,0.0002154299430590978
Random Forest,emb_struc2vec_2,0.0002053710300323086
Random Forest,emb_struc2vec_3,-0.0008075471750419005
Random Forest,emb_struc2vec_4,-0.00043431987746274104
Random Forest,emb_struc2vec_5,0.0002489234123322692
Random Forest,emb_struc2vec_6,0.00016040118212274913
Random Forest,emb_struc2vec_7,-7.172811712869986e-05
Random Forest,emb_struc2vec_8,0.0004995224690305999
Random Forest,emb_struc2vec_9,4.368052826618785e-05
Random Forest,emb_struc2vec_10,-2.5838687767532066e-05
Random Forest,emb_struc2vec_11,0.00015980582822804345
Random Forest,emb_struc2vec_12,-7.293661368265036e-05
Random Forest,emb_struc2vec_13,3.066352516400972e-05
Random Forest,emb_struc2vec_14,0.00035896687131650176
Random Forest,emb_struc2vec_15,0.00040074157028052726
Random Forest,emb_struc2vec_16,0.0008855932084484097
