features,model_name,measure,value
kl,xgboost,average_precision_score_0.05,0.406
kl,xgboost,average_precision_score_0.1,0.482
l1,log_reg,roc_auc_score,0.554
l1,log_reg,average_precision_score,0.276
l1,log_reg,average_precision_score_0.01,0.206
l1,log_reg,average_precision_score_0.05,0.206
l1,log_reg,average_precision_score_0.1,0.206
l1,random_forest,roc_auc_score,0.925
l1,random_forest,average_precision_score,0.812
l1,random_forest,average_precision_score_0.01,0.258
l1,random_forest,average_precision_score_0.05,0.433
l1,random_forest,average_precision_score_0.1,0.509
l1,lightgbm,roc_auc_score,0.92
l1,lightgbm,average_precision_score,0.799
l1,lightgbm,average_precision_score_0.01,0.206
l1,lightgbm,average_precision_score_0.05,0.409
l1,lightgbm,average_precision_score_0.1,0.491
l1,xgboost,roc_auc_score,0.926
l1,xgboost,average_precision_score,0.806
l1,xgboost,average_precision_score_0.01,0.206
l1,xgboost,average_precision_score_0.05,0.408
l1,xgboost,average_precision_score_0.1,0.493
l2,log_reg,roc_auc_score,0.561
l2,log_reg,average_precision_score,0.274
l2,log_reg,average_precision_score_0.01,0.206
l2,log_reg,average_precision_score_0.05,0.206
l2,log_reg,average_precision_score_0.1,0.206
l2,random_forest,roc_auc_score,0.909
l2,random_forest,average_precision_score,0.747
l2,random_forest,average_precision_score_0.01,0.25
l2,random_forest,average_precision_score_0.05,0.4
l2,random_forest,average_precision_score_0.1,0.443
l2,lightgbm,roc_auc_score,0.908
l2,lightgbm,average_precision_score,0.741
l2,lightgbm,average_precision_score_0.01,0.241
l2,lightgbm,average_precision_score_0.05,0.389
l2,lightgbm,average_precision_score_0.1,0.445
l2,xgboost,roc_auc_score,0.908
l2,xgboost,average_precision_score,0.747
l2,xgboost,average_precision_score_0.01,0.241
l2,xgboost,average_precision_score_0.05,0.429
l2,xgboost,average_precision_score_0.1,0.454
hd,log_reg,roc_auc_score,0.566
hd,log_reg,average_precision_score,0.271
hd,log_reg,average_precision_score_0.01,0.206
hd,log_reg,average_precision_score_0.05,0.206
hd,log_reg,average_precision_score_0.1,0.206
hd,random_forest,roc_auc_score,0.912
hd,random_forest,average_precision_score,0.755
hd,random_forest,average_precision_score_0.01,0.255
hd,random_forest,average_precision_score_0.05,0.422
hd,random_forest,average_precision_score_0.1,0.495
hd,lightgbm,roc_auc_score,0.906
hd,lightgbm,average_precision_score,0.746
hd,lightgbm,average_precision_score_0.01,0.206
hd,lightgbm,average_precision_score_0.05,0.399
hd,lightgbm,average_precision_score_0.1,0.467
hd,xgboost,roc_auc_score,0.906
hd,xgboost,average_precision_score,0.75
hd,xgboost,average_precision_score_0.01,0.242
hd,xgboost,average_precision_score_0.05,0.403
hd,xgboost,average_precision_score_0.1,0.48
kl2,log_reg,roc_auc_score,0.667
