features,model_name,measure,value
kl,xgboost,average_precision_score_0.05,0.011
kl,xgboost,average_precision_score_0.1,0.009
l1,log_reg,roc_auc_score,0.477
l1,log_reg,average_precision_score,0.008
l1,log_reg,average_precision_score_0.01,0.009
l1,log_reg,average_precision_score_0.05,0.009
l1,log_reg,average_precision_score_0.1,0.009
l1,random_forest,roc_auc_score,0.596
l1,random_forest,average_precision_score,0.015
l1,random_forest,average_precision_score_0.01,0.01
l1,random_forest,average_precision_score_0.05,0.011
l1,random_forest,average_precision_score_0.1,0.009
l1,lightgbm,roc_auc_score,0.591
l1,lightgbm,average_precision_score,0.014
l1,lightgbm,average_precision_score_0.01,0.009
l1,lightgbm,average_precision_score_0.05,0.009
l1,lightgbm,average_precision_score_0.1,0.009
l1,xgboost,roc_auc_score,0.583
l1,xgboost,average_precision_score,0.014
l1,xgboost,average_precision_score_0.01,0.009
l1,xgboost,average_precision_score_0.05,0.011
l1,xgboost,average_precision_score_0.1,0.009
l2,log_reg,roc_auc_score,0.531
l2,log_reg,average_precision_score,0.012
l2,log_reg,average_precision_score_0.01,0.009
l2,log_reg,average_precision_score_0.05,0.009
l2,log_reg,average_precision_score_0.1,0.009
l2,random_forest,roc_auc_score,0.568
l2,random_forest,average_precision_score,0.044
l2,random_forest,average_precision_score_0.01,0.01
l2,random_forest,average_precision_score_0.05,0.014
l2,random_forest,average_precision_score_0.1,0.016
l2,lightgbm,roc_auc_score,0.567
l2,lightgbm,average_precision_score,0.022
l2,lightgbm,average_precision_score_0.01,0.01
l2,lightgbm,average_precision_score_0.05,0.014
l2,lightgbm,average_precision_score_0.1,0.009
l2,xgboost,roc_auc_score,0.58
l2,xgboost,average_precision_score,0.015
l2,xgboost,average_precision_score_0.01,0.01
l2,xgboost,average_precision_score_0.05,0.011
l2,xgboost,average_precision_score_0.1,0.009
hd,log_reg,roc_auc_score,0.478
hd,log_reg,average_precision_score,0.008
hd,log_reg,average_precision_score_0.01,0.009
hd,log_reg,average_precision_score_0.05,0.009
hd,log_reg,average_precision_score_0.1,0.009
hd,random_forest,roc_auc_score,0.563
hd,random_forest,average_precision_score,0.044
hd,random_forest,average_precision_score_0.01,0.009
hd,random_forest,average_precision_score_0.05,0.014
hd,random_forest,average_precision_score_0.1,0.016
hd,lightgbm,roc_auc_score,0.564
hd,lightgbm,average_precision_score,0.013
hd,lightgbm,average_precision_score_0.01,0.01
hd,lightgbm,average_precision_score_0.05,0.009
hd,lightgbm,average_precision_score_0.1,0.009
hd,xgboost,roc_auc_score,0.553
hd,xgboost,average_precision_score,0.016
hd,xgboost,average_precision_score_0.01,0.01
hd,xgboost,average_precision_score_0.05,0.011
hd,xgboost,average_precision_score_0.1,0.009
kl2,log_reg,roc_auc_score,0.569
kl2,log_reg,average_precision_score,0.012
kl2,log_reg,average_precision_score_0.01,0.009
kl2,log_reg,average_precision_score_0.05,0.009
kl2,log_reg,average_precision_score_0.1,0.009
kl2,random_forest,roc_auc_score,0.529
kl2,random_forest,average_precision_score,0.01
kl2,random_forest,average_precision_score_0.01,0.009
kl2,random_forest,average_precision_score_0.05,0.009
kl2,random_forest,average_precision_score_0.1,0.009
kl2,lightgbm,roc_auc_score,0.595
kl2,lightgbm,average_precision_score,0.011
kl2,lightgbm,average_precision_score_0.01,0.01
kl2,lightgbm,average_precision_score_0.05,0.009
kl2,lightgbm,average_precision_score_0.1,0.009
kl2,xgboost,roc_auc_score,0.582
kl2,xgboost,average_precision_score,0.011
kl2,xgboost,average_precision_score_0.01,0.009
kl2,xgboost,average_precision_score_0.05,0.009
kl2,xgboost,average_precision_score_0.1,0.009
l12,log_reg,roc_auc_score,0.566
l12,log_reg,average_precision_score,0.011
l12,log_reg,average_precision_score_0.01,0.009
l12,log_reg,average_precision_score_0.05,0.009
l12,log_reg,average_precision_score_0.1,0.009
l12,random_forest,roc_auc_score,0.547
l12,random_forest,average_precision_score,0.014
l12,random_forest,average_precision_score_0.01,0.01
l12,random_forest,average_precision_score_0.05,0.01
l12,random_forest,average_precision_score_0.1,0.013
l12,lightgbm,roc_auc_score,0.536
l12,lightgbm,average_precision_score,0.011
l12,lightgbm,average_precision_score_0.01,0.01
l12,lightgbm,average_precision_score_0.05,0.01
l12,lightgbm,average_precision_score_0.1,0.009
l12,xgboost,roc_auc_score,0.554
l12,xgboost,average_precision_score,0.013
l12,xgboost,average_precision_score_0.01,0.01
l12,xgboost,average_precision_score_0.05,0.011
l12,xgboost,average_precision_score_0.1,0.011
l22,log_reg,roc_auc_score,0.588
l22,log_reg,average_precision_score,0.018
l22,log_reg,average_precision_score_0.01,0.009
l22,log_reg,average_precision_score_0.05,0.009
l22,log_reg,average_precision_score_0.1,0.009
l22,random_forest,roc_auc_score,0.539
l22,random_forest,average_precision_score,0.01
l22,random_forest,average_precision_score_0.01,0.009
l22,random_forest,average_precision_score_0.05,0.009
l22,random_forest,average_precision_score_0.1,0.009
l22,lightgbm,roc_auc_score,0.579
l22,lightgbm,average_precision_score,0.015
l22,lightgbm,average_precision_score_0.01,0.011
l22,lightgbm,average_precision_score_0.05,0.009
l22,lightgbm,average_precision_score_0.1,0.009
l22,xgboost,roc_auc_score,0.604
l22,xgboost,average_precision_score,0.013
l22,xgboost,average_precision_score_0.01,0.009
l22,xgboost,average_precision_score_0.05,0.009
l22,xgboost,average_precision_score_0.1,0.009
hd2,log_reg,roc_auc_score,0.568
hd2,log_reg,average_precision_score,0.013
hd2,log_reg,average_precision_score_0.01,0.009
hd2,log_reg,average_precision_score_0.05,0.009
hd2,log_reg,average_precision_score_0.1,0.009
hd2,random_forest,roc_auc_score,0.583
hd2,random_forest,average_precision_score,0.021
hd2,random_forest,average_precision_score_0.01,0.009
hd2,random_forest,average_precision_score_0.05,0.01
hd2,random_forest,average_precision_score_0.1,0.011
hd2,lightgbm,roc_auc_score,0.571
hd2,lightgbm,average_precision_score,0.018
hd2,lightgbm,average_precision_score_0.01,0.011
hd2,lightgbm,average_precision_score_0.05,0.009
hd2,lightgbm,average_precision_score_0.1,0.009
hd2,xgboost,roc_auc_score,0.533
hd2,xgboost,average_precision_score,0.01
hd2,xgboost,average_precision_score_0.01,0.009
hd2,xgboost,average_precision_score_0.05,0.009
hd2,xgboost,average_precision_score_0.1,0.009
lcc,log_reg,roc_auc_score,0.441
lcc,log_reg,average_precision_score,0.008
lcc,log_reg,average_precision_score_0.01,0.009
lcc,log_reg,average_precision_score_0.05,0.009
lcc,log_reg,average_precision_score_0.1,0.009
lcc,random_forest,roc_auc_score,0.509
lcc,random_forest,average_precision_score,0.009
lcc,random_forest,average_precision_score_0.01,0.009
lcc,random_forest,average_precision_score_0.05,0.009
lcc,random_forest,average_precision_score_0.1,0.009
lcc,lightgbm,roc_auc_score,0.535
lcc,lightgbm,average_precision_score,0.009
lcc,lightgbm,average_precision_score_0.01,0.009
lcc,lightgbm,average_precision_score_0.05,0.009
lcc,lightgbm,average_precision_score_0.1,0.009
lcc,xgboost,roc_auc_score,0.534
lcc,xgboost,average_precision_score,0.009
lcc,xgboost,average_precision_score_0.01,0.009
lcc,xgboost,average_precision_score_0.05,0.009
