features,model_name,measure,value
kl,xgboost,average_precision_score_0.05,0.089
kl,xgboost,average_precision_score_0.1,0.109
l1,log_reg,roc_auc_score,0.601
l1,log_reg,average_precision_score,0.122
l1,log_reg,average_precision_score_0.01,0.086
l1,log_reg,average_precision_score_0.05,0.086
l1,log_reg,average_precision_score_0.1,0.086
l1,random_forest,roc_auc_score,0.662
l1,random_forest,average_precision_score,0.173
l1,random_forest,average_precision_score_0.01,0.09
l1,random_forest,average_precision_score_0.05,0.104
l1,random_forest,average_precision_score_0.1,0.118
l1,lightgbm,roc_auc_score,0.663
l1,lightgbm,average_precision_score,0.168
l1,lightgbm,average_precision_score_0.01,0.086
l1,lightgbm,average_precision_score_0.05,0.086
l1,lightgbm,average_precision_score_0.1,0.112
l1,xgboost,roc_auc_score,0.647
l1,xgboost,average_precision_score,0.149
l1,xgboost,average_precision_score_0.01,0.086
l1,xgboost,average_precision_score_0.05,0.086
l1,xgboost,average_precision_score_0.1,0.089
l2,log_reg,roc_auc_score,0.602
l2,log_reg,average_precision_score,0.123
l2,log_reg,average_precision_score_0.01,0.086
l2,log_reg,average_precision_score_0.05,0.086
l2,log_reg,average_precision_score_0.1,0.086
l2,random_forest,roc_auc_score,0.67
l2,random_forest,average_precision_score,0.187
l2,random_forest,average_precision_score_0.01,0.087
l2,random_forest,average_precision_score_0.05,0.103
l2,random_forest,average_precision_score_0.1,0.123
l2,lightgbm,roc_auc_score,0.656
l2,lightgbm,average_precision_score,0.182
l2,lightgbm,average_precision_score_0.01,0.086
l2,lightgbm,average_precision_score_0.05,0.09
l2,lightgbm,average_precision_score_0.1,0.117
l2,xgboost,roc_auc_score,0.662
l2,xgboost,average_precision_score,0.17
l2,xgboost,average_precision_score_0.01,0.087
l2,xgboost,average_precision_score_0.05,0.095
l2,xgboost,average_precision_score_0.1,0.122
hd,log_reg,roc_auc_score,0.604
hd,log_reg,average_precision_score,0.121
hd,log_reg,average_precision_score_0.01,0.086
hd,log_reg,average_precision_score_0.05,0.086
hd,log_reg,average_precision_score_0.1,0.086
hd,random_forest,roc_auc_score,0.667
hd,random_forest,average_precision_score,0.158
hd,random_forest,average_precision_score_0.01,0.092
hd,random_forest,average_precision_score_0.05,0.105
hd,random_forest,average_precision_score_0.1,0.11
hd,lightgbm,roc_auc_score,0.648
hd,lightgbm,average_precision_score,0.142
hd,lightgbm,average_precision_score_0.01,0.086
hd,lightgbm,average_precision_score_0.05,0.088
hd,lightgbm,average_precision_score_0.1,0.105
hd,xgboost,roc_auc_score,0.654
hd,xgboost,average_precision_score,0.159
hd,xgboost,average_precision_score_0.01,0.086
hd,xgboost,average_precision_score_0.05,0.086
hd,xgboost,average_precision_score_0.1,0.105
kl2,log_reg,roc_auc_score,0.592
kl2,log_reg,average_precision_score,0.122
kl2,log_reg,average_precision_score_0.01,0.086
kl2,log_reg,average_precision_score_0.05,0.086
kl2,log_reg,average_precision_score_0.1,0.086
kl2,random_forest,roc_auc_score,0.641
kl2,random_forest,average_precision_score,0.176
kl2,random_forest,average_precision_score_0.01,0.088
kl2,random_forest,average_precision_score_0.05,0.098
kl2,random_forest,average_precision_score_0.1,0.114
kl2,lightgbm,roc_auc_score,0.615
kl2,lightgbm,average_precision_score,0.163
kl2,lightgbm,average_precision_score_0.01,0.086
kl2,lightgbm,average_precision_score_0.05,0.086
kl2,lightgbm,average_precision_score_0.1,0.12
kl2,xgboost,roc_auc_score,0.605
kl2,xgboost,average_precision_score,0.142
kl2,xgboost,average_precision_score_0.01,0.086
kl2,xgboost,average_precision_score_0.05,0.086
kl2,xgboost,average_precision_score_0.1,0.086
l12,log_reg,roc_auc_score,0.587
l12,log_reg,average_precision_score,0.125
l12,log_reg,average_precision_score_0.01,0.086
l12,log_reg,average_precision_score_0.05,0.086
l12,log_reg,average_precision_score_0.1,0.086
l12,random_forest,roc_auc_score,0.613
l12,random_forest,average_precision_score,0.15
l12,random_forest,average_precision_score_0.01,0.09
l12,random_forest,average_precision_score_0.05,0.093
l12,random_forest,average_precision_score_0.1,0.117
l12,lightgbm,roc_auc_score,0.605
l12,lightgbm,average_precision_score,0.15
l12,lightgbm,average_precision_score_0.01,0.086
l12,lightgbm,average_precision_score_0.05,0.09
l12,lightgbm,average_precision_score_0.1,0.108
l12,xgboost,roc_auc_score,0.62
l12,xgboost,average_precision_score,0.173
l12,xgboost,average_precision_score_0.01,0.086
l12,xgboost,average_precision_score_0.05,0.094
l12,xgboost,average_precision_score_0.1,0.111
l22,log_reg,roc_auc_score,0.579
