emb_node2vec_0,emb_node2vec_1,emb_node2vec_2,emb_node2vec_3,emb_node2vec_4,emb_node2vec_5,emb_node2vec_6,emb_node2vec_7,emb_node2vec_8,emb_node2vec_9,emb_node2vec_10,emb_node2vec_11,emb_node2vec_12,emb_node2vec_13,emb_node2vec_14,emb_node2vec_15
1.8946528,2.8913124,3.8643339,1.0925863,0.36770082,0.20467494,-2.5130367,-0.52332497,-0.6679028,-1.4049368,-1.131449,-0.16639657,1.5092351,-3.221774,-0.41179824,1.0668368
1.2035232,2.448144,3.6460812,0.9793949,0.11193559,-0.1426403,-1.4905064,-0.58192545,-0.35456464,-1.5695286,-0.7830784,-0.37954548,1.50606,-2.3541574,-0.38801372,0.936037
-0.37003884,1.2635082,1.5189676,-1.4953394,0.5335079,0.6547531,-1.365065,-1.1039069,2.2906055,-2.814962,-0.5429898,2.1305492,-0.47951505,-1.2769178,-2.1703756,1.8980455
-0.707212,1.7311456,1.9707826,-1.4846028,0.5532936,0.39971057,-1.3675218,-0.10303704,2.1621668,-2.5988193,-0.30004996,2.5351312,-0.30519864,-1.0148227,-2.4189517,0.98228765
-0.32522035,-0.10029805,2.3581822,0.40896547,2.1759555,-0.5315958,1.062619,-0.9868317,0.7992218,3.4060416,-1.4294398,0.83652383,0.53371763,-0.846272,-3.6970534,-0.3019014
-0.2559369,-0.5397418,2.3076658,0.23963289,2.1998763,-0.5715543,0.7745517,-0.9408432,0.8862219,3.1910489,-1.0370733,0.7380794,0.22287972,-0.62743014,-3.4287438,0.043210465
0.6513467,1.2499545,0.5129786,-0.8060464,1.0152135,1.5161755,-1.8205047,-1.7821388,0.23198059,1.6249164,-1.9856168,-0.34238893,-0.9279544,-2.117953,-1.9260267,-0.57926553
0.79426086,1.5240262,0.7307478,-1.0974604,1.2995864,1.9012668,-2.222016,-2.0836298,0.4445522,1.8558378,-2.5482342,-0.54252225,-1.1263945,-2.6824179,-2.5566797,-0.58397996
-0.69572103,3.162631,0.4259455,-0.97172046,3.1581655,0.38807935,1.0996022,-1.1050206,1.0368475,-0.1799946,1.9657542,1.2748955,-1.2944063,-0.2574485,-2.4257288,1.1184232
-0.6777723,3.2192407,0.5421161,-0.9532013,2.8346548,0.40326643,1.2329464,-1.4804279,1.2152113,-0.14829017,1.8771012,1.0537311,-1.544916,-0.14519596,-2.5432768,0.8965607
0.79229164,1.7211607,2.2734702,0.5309316,0.2324553,0.7450619,-2.5616233,0.88165516,1.0486991,1.2409074,-0.79822963,1.3468984,0.42895582,-2.4589665,-2.4918585,-1.8281486
0.88685554,1.4425915,2.153739,0.19088928,0.5319791,0.72345924,-1.8409164,1.0835721,0.8409555,1.2882304,-0.43482134,1.0612726,0.33939418,-2.536334,-2.268296,-1.6693143
-0.28663874,-1.0913467,1.2839833,1.6142987,1.8778743,-0.31678283,-2.2147138,-2.8484054,-0.3343821,-0.64608335,-1.8876367,-0.43757603,-1.3040441,-1.4235868,-1.249144,3.211862
-0.7161846,-0.6608223,0.9658991,1.26366,1.8846847,-0.86023384,-2.3121243,-2.0569663,-1.0616907,0.02335972,-2.2343292,-0.50284797,-1.1589454,-2.0694957,-1.193257,2.5566223
-1.3580519,0.199277,0.8538637,-0.7932935,2.1935487,-0.23301148,-2.4438026,-1.3713803,-1.5316808,2.4983814,0.5066655,0.42372385,-1.9968399,-2.2510724,-3.2793505,-1.2893938
-0.91050076,0.21288034,0.81434107,-0.42547753,1.661431,-0.88405025,-2.3626409,-1.1852643,-1.1049422,2.1946092,1.1038026,0.06758239,-1.842489,-2.259942,-3.4779868,-0.98720694
-0.44193083,0.78271663,1.2498707,2.0138912,-0.5661059,-1.9861045,-1.2865337,-2.7770762,1.71258,1.172476,-2.0724688,2.1717112,-1.203984,-2.462775,-2.5518334,0.70541584
-0.40516084,0.65400493,0.85141385,2.1771362,-0.32380688,-1.6487999,-1.1655072,-2.4876873,1.3915868,0.8368974,-1.4931153,1.9270484,-0.83555025,-2.0921614,-2.2071257,0.5508869
0.57694966,0.032726582,1.9086877,0.19783293,2.5044007,-1.2855753,-2.6745245,0.47579786,0.52761817,-1.446998,1.4177873,0.1663313,1.3173836,-2.120115,-1.6214973,1.1020149
0.7276978,-0.34697026,2.3230026,0.17842181,2.7211373,-1.1647973,-2.9174144,0.8807641,0.8433502,-1.2063944,1.4703106,0.6040225,1.3796562,-2.7275355,-2.0333257,1.2214237
-0.814212,1.004107,2.4469087,-1.2530125,1.554498,1.172336,-0.6805572,-1.9615194,1.548323,0.48486936,-1.6665368,-2.2970977,-2.275297,-1.0460252,-0.733961,1.5338429
-0.8706683,1.0731688,2.5268424,-1.282163,1.6076123,1.4743868,-0.33356872,-1.6517067,1.9657284,0.32655892,-1.5079775,-2.2475846,-2.1251245,-1.4503847,-0.70857227,1.689665
0.12385417,0.53339577,3.133479,-0.7394644,0.14838636,-0.9299142,-1.0386735,-1.3718835,-0.06426961,0.25374734,-1.5995982,-0.9925608,-0.5055436,0.25542054,-2.773481,0.8962223
0.3680378,0.5312267,3.8926635,-1.1493993,0.11412005,-1.2370915,-1.398729,-1.8758881,0.050014466,0.58754325,-1.9140011,-0.965791,-0.36531156,0.09678504,-3.4644449,1.1183487
-0.047268126,-0.27908188,2.3957987,0.9223994,2.1574078,1.1680176,0.9343822,-1.3488364,1.0027479,-0.113251984,-3.5115194,0.8460853,-0.7627674,-1.1361438,-1.8599639,-0.77037734
0.08177846,-0.3268043,2.429282,1.4589287,2.0291185,0.56734127,0.94466704,-1.2312293,0.71201134,0.048272017,-3.7797809,0.83737695,-0.6164155,-1.1584898,-1.8881276,-0.5103837
-0.7771284,3.6619763,1.8647814,-0.54689425,1.6410539,-0.26157886,-0.43212175,-1.9342463,2.5433605,-0.18554269,0.18579674,-1.1780932,-1.3771306,0.009834199,-0.040722877,2.7539423
-0.8133467,3.2747877,1.6842203,-0.27443874,1.546559,0.26357126,0.016145363,-1.8940905,2.2401078,-0.4178368,0.28536674,-0.7067009,-1.0876014,-0.024016216,0.09958646,2.3679352
0.93247247,2.5867062,0.8931609,-0.3968256,0.69726044,-1.8097562,1.1476061,-2.5119922,1.6270919,-0.07104707,-1.5026461,-0.11208744,0.33179197,-2.7850795,-2.11025,-0.4511396
0.91220814,2.4059198,1.5967038,-0.31617665,0.24844883,-2.138981,1.4054359,-2.369332,1.5988837,-0.054676447,-1.5657576,-0.1381808,-0.43437633,-2.676532,-3.2469232,-0.6407723
